phase,error_type,draw,loss,win,total,win_rate
endgame,blunder,283,793,870,1946,0.447070914696814
endgame,inaccuracy,302,1122,1074,2498,0.4299439551641313
endgame,mistake,313,1015,1010,2338,0.43199315654405473
middlegame,blunder,332,7728,4768,12828,0.37168693483005927
middlegame,inaccuracy,829,13280,11154,25263,0.4415152594703717
middlegame,mistake,788,14862,11241,26891,0.41802089918560115
opening,blunder,93,2333,1638,4064,0.4030511811023622
opening,inaccuracy,524,10435,10213,21172,0.48238239183827697
opening,mistake,380,8295,7468,16143,0.46261537508517625
