phase,error_type,draw,loss,win,total,win_rate
endgame,blunder,535,1477,1746,3758,0.464608834486429
endgame,inaccuracy,591,2130,2241,4962,0.45163240628778717
endgame,mistake,569,1820,2149,4538,0.47355663287791977
middlegame,blunder,685,14817,10291,25793,0.39898422052494864
middlegame,inaccuracy,1653,25258,24290,51201,0.47440479678131287
middlegame,mistake,1582,28160,24895,54637,0.4556436114720794
opening,blunder,189,5249,3263,8701,0.37501436616480865
opening,inaccuracy,1142,22648,21462,45252,0.4742773800053036
opening,mistake,799,18691,15731,35221,0.44663694954714517
