side,error_type,move_number,san,move_san,count
White,blunder,4,Bg5,4. Bg5,37
Black,blunder,9,O-O,9. O-O,18
Black,blunder,10,O-O,10. O-O,15
Black,blunder,11,O-O,11. O-O,15
Black,blunder,5,Nc6,5. Nc6,14
Black,blunder,5,Nf6,5. Nf6,14
White,blunder,4,O-O,4. O-O,14
Black,blunder,7,O-O,7. O-O,13
White,blunder,3,Bg2,3. Bg2,13
White,blunder,5,Nf3,5. Nf3,13
White,blunder,7,Nc3,7. Nc3,13
Black,blunder,3,Bxc5,3. Bxc5,12
Black,blunder,3,e6,3. e6,12
Black,blunder,4,Nf6,4. Nf6,12
Black,blunder,6,Nf6,6. Nf6,12
White,blunder,10,O-O,10. O-O,12
Black,blunder,8,O-O,8. O-O,11
Black,blunder,13,O-O,13. O-O,11
White,blunder,7,cxd5,7. cxd5,11
Black,blunder,5,d5,5. d5,10
Black,blunder,6,d5,6. d5,10
Black,blunder,7,Be7,7. Be7,10
Black,blunder,7,Nf6,7. Nf6,10
Black,blunder,12,O-O,12. O-O,10
Black,blunder,16,Qc7,16. Qc7,10
White,blunder,6,Nc3,6. Nc3,10
White,blunder,8,cxd5,8. cxd5,10
White,blunder,10,Bg5,10. Bg5,10
White,blunder,19,Ne4,19. Ne4,10
White,blunder,27,Re1,27. Re1,10
Black,blunder,2,e6,2. e6,9
Black,blunder,6,Bd6,6. Bd6,9
Black,blunder,9,e5,9. e5,9
Black,blunder,12,Qb6,12. Qb6,9
Black,blunder,14,O-O,14. O-O,9
Black,blunder,15,Ne5,15. Ne5,9
Black,blunder,15,Qb6,15. Qb6,9
White,blunder,7,Bg5,7. Bg5,9
White,blunder,7,e3,7. e3,9
White,blunder,8,Ne5,8. Ne5,9
White,blunder,9,Bd3,9. Bd3,9
White,blunder,9,Bg5,9. Bg5,9
Black,blunder,6,Bb4,6. Bb4,8
Black,blunder,6,Be7,6. Be7,8
Black,blunder,7,d5,7. d5,8
Black,blunder,10,d5,10. d5,8
Black,blunder,12,Nd4,12. Nd4,8
Black,blunder,15,O-O,15. O-O,8
Black,blunder,17,g6,17. g6,8
White,blunder,7,Bd3,7. Bd3,8
White,blunder,8,Bd3,8. Bd3,8
White,blunder,8,Bg5,8. Bg5,8
White,blunder,12,Bf4,12. Bf4,8
White,blunder,25,Rc1,25. Rc1,8
White,blunder,27,Kg2,27. Kg2,8
Black,blunder,3,Nf6,3. Nf6,7
Black,blunder,5,Bb4+,5. Bb4+,7
Black,blunder,6,Nc6,6. Nc6,7
Black,blunder,7,Nc6,7. Nc6,7
Black,blunder,10,Qb6,10. Qb6,7
Black,blunder,11,Ne5,11. Ne5,7
Black,blunder,12,Be6,12. Be6,7
Black,blunder,12,Ng4,12. Ng4,7
Black,blunder,13,Bd7,13. Bd7,7
Black,blunder,14,Qc7,14. Qc7,7
Black,blunder,14,Re8,14. Re8,7
Black,blunder,15,g6,15. g6,7
Black,blunder,16,Qb6,16. Qb6,7
Black,blunder,17,Qf5,17. Qf5,7
Black,blunder,17,Qxb2,17. Qxb2,7
Black,blunder,20,Bf5,20. Bf5,7
Black,blunder,20,Qf6,20. Qf6,7
White,blunder,3,Nc3,3. Nc3,7
White,blunder,4,Nc3,4. Nc3,7
White,blunder,6,c4,6. c4,7
White,blunder,9,Nc3,9. Nc3,7
White,blunder,10,Ne5,10. Ne5,7
White,blunder,11,Bg5,11. Bg5,7
White,blunder,11,e4,11. e4,7
White,blunder,12,b3,12. b3,7
White,blunder,15,e4,15. e4,7
White,blunder,18,Ne4,18. Ne4,7
White,blunder,20,Rfd1,20. Rfd1,7
White,blunder,29,Rd1,29. Rd1,7
White,blunder,30,Rc1,30. Rc1,7
White,blunder,31,Kg2,31. Kg2,7
White,blunder,31,Rd1,31. Rd1,7
White,blunder,35,Kh3,35. Kh3,7
Black,blunder,3,Nc6,3. Nc6,6
Black,blunder,6,Qa5,6. Qa5,6
Black,blunder,8,Bb4,8. Bb4,6
Black,blunder,8,Bc5,8. Bc5,6
Black,blunder,8,Ne4,8. Ne4,6
Black,blunder,9,Bg4,9. Bg4,6
Black,blunder,9,a6,9. a6,6
Black,blunder,9,d5,9. d5,6
Black,blunder,11,Bd7,11. Bd7,6
Black,blunder,11,Ne4,11. Ne4,6
Black,blunder,11,a6,11. a6,6
Black,blunder,12,Nb4,12. Nb4,6
Black,blunder,12,d4,12. d4,6
Black,blunder,12,g6,12. g6,6
Black,blunder,14,Qf6,14. Qf6,6
Black,blunder,15,Ba6,15. Ba6,6
Black,blunder,15,Nxd5,15. Nxd5,6
Black,blunder,16,b6,16. b6,6
Black,blunder,16,f5,16. f5,6
Black,blunder,17,Qb6,17. Qb6,6
Black,blunder,17,f5,17. f5,6
Black,blunder,18,Qh4,18. Qh4,6
Black,blunder,18,e5,18. e5,6
Black,blunder,19,Bb7,19. Bb7,6
Black,blunder,21,Ne4,21. Ne4,6
Black,blunder,22,Qg5,22. Qg5,6
Black,blunder,22,Qg6,22. Qg6,6
Black,blunder,23,Nd7,23. Nd7,6
Black,blunder,23,g6,23. g6,6
Black,blunder,25,Kf8,25. Kf8,6
Black,blunder,25,Nd5,25. Nd5,6
Black,blunder,25,Rd8,25. Rd8,6
Black,blunder,28,Kh8,28. Kh8,6
Black,blunder,33,Kf8,33. Kf8,6
White,blunder,6,Nxd4,6. Nxd4,6
White,blunder,6,cxd5,6. cxd5,6
White,blunder,7,Nf3,7. Nf3,6
White,blunder,8,Nc3,8. Nc3,6
White,blunder,9,e3,9. e3,6
White,blunder,11,Ne5,11. Ne5,6
White,blunder,11,O-O,11. O-O,6
White,blunder,12,Ne5,12. Ne5,6
White,blunder,12,e4,12. e4,6
White,blunder,14,Ne5,14. Ne5,6
White,blunder,15,O-O,15. O-O,6
White,blunder,16,Nb5,16. Nb5,6
White,blunder,16,Nc3,16. Nc3,6
White,blunder,16,e4,16. e4,6
White,blunder,17,Qc2,17. Qc2,6
White,blunder,18,e3,18. e3,6
White,blunder,19,Bf4,19. Bf4,6
White,blunder,19,Qxa7,19. Qxa7,6
White,blunder,20,Qc2,20. Qc2,6
White,blunder,21,Qb3,21. Qb3,6
White,blunder,21,Qf3,21. Qf3,6
White,blunder,22,Kg1,22. Kg1,6
White,blunder,23,Re1,23. Re1,6
White,blunder,24,Qd3,24. Qd3,6
White,blunder,26,Kg2,26. Kg2,6
White,blunder,27,Rb1,27. Rb1,6
White,blunder,28,Kg2,28. Kg2,6
White,blunder,28,Rd1,28. Rd1,6
White,blunder,32,Kf1,32. Kf1,6
Black,blunder,5,Be7,5. Be7,5
Black,blunder,6,Nxe5,6. Nxe5,5
Black,blunder,7,Bb4,7. Bb4,5
Black,blunder,8,d5,8. d5,5
Black,blunder,9,Nh5,9. Nh5,5
Black,blunder,10,Bd6,10. Bd6,5
Black,blunder,10,Bg4,10. Bg4,5
Black,blunder,10,Qxc3+,10. Qxc3+,5
Black,blunder,11,Nd7,11. Nd7,5
Black,blunder,11,Ng4,11. Ng4,5
Black,blunder,11,Nxd5,11. Nxd5,5
Black,blunder,11,h6,11. h6,5
Black,blunder,12,Nxe5,12. Nxe5,5
Black,blunder,12,Qc7,12. Qc7,5
Black,blunder,13,Bf5,13. Bf5,5
Black,blunder,13,Ng4,13. Ng4,5
Black,blunder,13,Nh5,13. Nh5,5
Black,blunder,13,Qb6,13. Qb6,5
Black,blunder,13,Qc7,13. Qc7,5
Black,blunder,13,f6,13. f6,5
Black,blunder,14,Nb4,14. Nb4,5
Black,blunder,14,Nd4,14. Nd4,5
Black,blunder,14,Qb6,14. Qb6,5
Black,blunder,14,Qxb2,14. Qxb2,5
Black,blunder,14,e5,14. e5,5
Black,blunder,15,Qg5,15. Qg5,5
Black,blunder,16,Bd7,16. Bd7,5
Black,blunder,16,Re8,16. Re8,5
Black,blunder,17,Bg4,17. Bg4,5
Black,blunder,17,Nd4,17. Nd4,5
Black,blunder,17,Ng4,17. Ng4,5
Black,blunder,17,Qc7,17. Qc7,5
Black,blunder,17,Qd6,17. Qd6,5
Black,blunder,17,Qf6,17. Qf6,5
Black,blunder,17,Qg5,17. Qg5,5
Black,blunder,17,d4,17. d4,5
Black,blunder,18,Be6,18. Be6,5
Black,blunder,18,Kg7,18. Kg7,5
Black,blunder,18,Ne5,18. Ne5,5
Black,blunder,18,Re8,18. Re8,5
Black,blunder,18,Rfe8,18. Rfe8,5
Black,blunder,18,g6,18. g6,5
Black,blunder,19,Bd7,19. Bd7,5
Black,blunder,19,Bf5,19. Bf5,5
Black,blunder,19,Ne4,19. Ne4,5
Black,blunder,20,Qxg3,20. Qxg3,5
Black,blunder,20,Re8,20. Re8,5
Black,blunder,20,d4,20. d4,5
Black,blunder,21,Be6,21. Be6,5
Black,blunder,21,Ne7,21. Ne7,5
Black,blunder,21,e5,21. e5,5
Black,blunder,22,f5,22. f5,5
Black,blunder,22,g5,22. g5,5
Black,blunder,23,Qd6,23. Qd6,5
Black,blunder,23,Qg6,23. Qg6,5
Black,blunder,24,Bf5,24. Bf5,5
Black,blunder,24,a6,24. a6,5
Black,blunder,25,Rf8,25. Rf8,5
Black,blunder,25,Rxe3,25. Rxe3,5
Black,blunder,26,Kh7,26. Kh7,5
Black,blunder,26,d4,26. d4,5
Black,blunder,27,Qc5,27. Qc5,5
Black,blunder,30,Qf6,30. Qf6,5
Black,blunder,30,Re2,30. Re2,5
Black,blunder,31,Kg7,31. Kg7,5
Black,blunder,33,Kh7,33. Kh7,5
White,blunder,3,Bg5,3. Bg5,5
White,blunder,5,Bg5,5. Bg5,5
White,blunder,5,c4,5. c4,5
White,blunder,5,d4,5. d4,5
White,blunder,6,e3,6. e3,5
White,blunder,9,Ne5,9. Ne5,5
White,blunder,9,Rc1,9. Rc1,5
White,blunder,11,Bh6,11. Bh6,5
White,blunder,11,b3,11. b3,5
White,blunder,11,h3,11. h3,5
White,blunder,12,Be3,12. Be3,5
White,blunder,12,Bg5,12. Bg5,5
White,blunder,12,Nb5,12. Nb5,5
White,blunder,12,Nh4,12. Nh4,5
White,blunder,12,Qa4,12. Qa4,5
White,blunder,13,Ne4,13. Ne4,5
White,blunder,13,Nxd5,13. Nxd5,5
White,blunder,14,Bf4,14. Bf4,5
White,blunder,14,Ng5,14. Ng5,5
White,blunder,14,Qb3,14. Qb3,5
White,blunder,14,e4,14. e4,5
White,blunder,15,Nc3,15. Nc3,5
White,blunder,15,Qc2,15. Qc2,5
White,blunder,15,Qd3,15. Qd3,5
White,blunder,15,Rd1,15. Rd1,5
White,blunder,15,b3,15. b3,5
White,blunder,15,f4,15. f4,5
White,blunder,16,Bxb7,16. Bxb7,5
White,blunder,16,Nd4,16. Nd4,5
White,blunder,16,Re1,16. Re1,5
White,blunder,16,f3,16. f3,5
White,blunder,17,Nd5,17. Nd5,5
White,blunder,17,Ne5,17. Ne5,5
White,blunder,17,Qb3,17. Qb3,5
White,blunder,17,e3,17. e3,5
White,blunder,17,e4,17. e4,5
White,blunder,17,f3,17. f3,5
White,blunder,18,Re1,18. Re1,5
White,blunder,18,e4,18. e4,5
White,blunder,19,Rb1,19. Rb1,5
White,blunder,19,e3,19. e3,5
White,blunder,20,Ne5,20. Ne5,5
White,blunder,20,Rad1,20. Rad1,5
White,blunder,20,Rfe1,20. Rfe1,5
White,blunder,21,Rac1,21. Rac1,5
White,blunder,22,Nd4,22. Nd4,5
White,blunder,22,Rab1,22. Rab1,5
White,blunder,22,Rd1,22. Rd1,5
White,blunder,22,e4,22. e4,5
White,blunder,23,Kh1,23. Kh1,5
White,blunder,23,Ne4,23. Ne4,5
White,blunder,23,Qxa7,23. Qxa7,5
White,blunder,24,Bb2,24. Bb2,5
White,blunder,24,Nb5,24. Nb5,5
White,blunder,24,Rfd1,24. Rfd1,5
White,blunder,25,Rd7,25. Rd7,5
White,blunder,26,Nd7,26. Nd7,5
White,blunder,26,Rc1,26. Rc1,5
White,blunder,26,Re1,26. Re1,5
White,blunder,29,Re1,29. Re1,5
White,blunder,30,Kg2,30. Kg2,5
White,blunder,30,Rd1,30. Rd1,5
White,blunder,30,Rxf7+,30. Rxf7+,5
White,blunder,41,g4,41. g4,5
White,blunder,41,h4,41. h4,5
Black,blunder,5,Bd6,5. Bd6,4
Black,blunder,6,O-O,6. O-O,4
Black,blunder,7,Bxc3+,7. Bxc3+,4
Black,blunder,7,Qa5,7. Qa5,4
Black,blunder,7,a6,7. a6,4
Black,blunder,8,Bd6,8. Bd6,4
Black,blunder,8,Nc6,8. Nc6,4
Black,blunder,8,Nxd5,8. Nxd5,4
Black,blunder,9,Bd6,9. Bd6,4
Black,blunder,9,Be7,9. Be7,4
Black,blunder,9,Bxf2+,9. Bxf2+,4
Black,blunder,9,Nxc3,9. Nxc3,4
Black,blunder,9,Nxe4,9. Nxe4,4
Black,blunder,10,Nf6,10. Nf6,4
Black,blunder,10,Nxd5,10. Nxd5,4
Black,blunder,10,Re8,10. Re8,4
Black,blunder,11,Bd6,11. Bd6,4
Black,blunder,11,Nxe4,11. Nxe4,4
Black,blunder,11,Qg5,11. Qg5,4
Black,blunder,11,Re8,11. Re8,4
Black,blunder,11,b5,11. b5,4
Black,blunder,12,Ne5,12. Ne5,4
Black,blunder,12,Nf5,12. Nf5,4
Black,blunder,12,c5,12. c5,4
Black,blunder,12,h6,12. h6,4
Black,blunder,13,Be6,13. Be6,4
Black,blunder,13,Nd4,13. Nd4,4
Black,blunder,13,Ne4,13. Ne4,4
Black,blunder,13,Ne5,13. Ne5,4
Black,blunder,13,Nxd4,13. Nxd4,4
Black,blunder,13,e5,13. e5,4
Black,blunder,14,Be7,14. Be7,4
Black,blunder,14,Bg4,14. Bg4,4
Black,blunder,14,Ne4,14. Ne4,4
Black,blunder,14,Ne5,14. Ne5,4
Black,blunder,14,d5,14. d5,4
Black,blunder,14,f6,14. f6,4
Black,blunder,14,h6,14. h6,4
Black,blunder,15,Bf5,15. Bf5,4
Black,blunder,15,Nc6,15. Nc6,4
Black,blunder,15,Nd5,15. Nd5,4
Black,blunder,15,Ne4,15. Ne4,4
Black,blunder,15,Ng4,15. Ng4,4
Black,blunder,15,Re8,15. Re8,4
Black,blunder,16,Bd6,16. Bd6,4
Black,blunder,16,Be5,16. Be5,4
Black,blunder,16,Be6,16. Be6,4
Black,blunder,16,Bf5,16. Bf5,4
Black,blunder,16,Nd4,16. Nd4,4
Black,blunder,16,Rd8,16. Rd8,4
Black,blunder,16,a6,16. a6,4
Black,blunder,17,Bf5,17. Bf5,4
Black,blunder,17,Ne5,17. Ne5,4
Black,blunder,17,Rd8,17. Rd8,4
Black,blunder,17,Rfe8,17. Rfe8,4
Black,blunder,18,Bd7,18. Bd7,4
Black,blunder,18,O-O,18. O-O,4
Black,blunder,18,Qa5,18. Qa5,4
Black,blunder,18,Qb6,18. Qb6,4
Black,blunder,18,d4,18. d4,4
Black,blunder,18,g5,18. g5,4
Black,blunder,18,h6,18. h6,4
Black,blunder,19,Bc5,19. Bc5,4
Black,blunder,19,Bd6,19. Bd6,4
Black,blunder,19,Nc4,19. Nc4,4
Black,blunder,19,Qe7,19. Qe7,4
Black,blunder,19,Rad8,19. Rad8,4
Black,blunder,19,f5,19. f5,4
Black,blunder,19,g5,19. g5,4
Black,blunder,20,Bg4,20. Bg4,4
Black,blunder,20,Ne4,20. Ne4,4
Black,blunder,20,Ne5,20. Ne5,4
Black,blunder,20,Qd6,20. Qd6,4
Black,blunder,20,Qg5,20. Qg5,4
Black,blunder,20,Rac8,20. Rac8,4
Black,blunder,20,Rad8,20. Rad8,4
Black,blunder,20,Rb8,20. Rb8,4
Black,blunder,20,Rfe8,20. Rfe8,4
Black,blunder,20,e5,20. e5,4
Black,blunder,21,Ba6,21. Ba6,4
Black,blunder,21,Kg8,21. Kg8,4
Black,blunder,21,Kh8,21. Kh8,4
Black,blunder,21,Nc6,21. Nc6,4
Black,blunder,21,Qb6,21. Qb6,4
Black,blunder,21,Rac8,21. Rac8,4
Black,blunder,21,Rad8,21. Rad8,4
Black,blunder,21,Re8,21. Re8,4
Black,blunder,21,d4,21. d4,4
Black,blunder,22,Bc5,22. Bc5,4
Black,blunder,22,Bd7,22. Bd7,4
Black,blunder,22,Qg4,22. Qg4,4
Black,blunder,22,Rac8,22. Rac8,4
Black,blunder,22,Rc8,22. Rc8,4
Black,blunder,22,Rg8,22. Rg8,4
Black,blunder,23,Bb7,23. Bb7,4
Black,blunder,23,Bd5,23. Bd5,4
Black,blunder,23,Be4,23. Be4,4
Black,blunder,23,Be7,23. Be7,4
Black,blunder,23,Kh8,23. Kh8,4
Black,blunder,23,Qc5,23. Qc5,4
Black,blunder,23,Qc6,23. Qc6,4
Black,blunder,24,Bb7,24. Bb7,4
Black,blunder,24,Bc6,24. Bc6,4
Black,blunder,24,Bd7,24. Bd7,4
Black,blunder,24,Re8,24. Re8,4
Black,blunder,24,Rf8,24. Rf8,4
Black,blunder,24,Rfe8,24. Rfe8,4
Black,blunder,24,Rxb2,24. Rxb2,4
Black,blunder,24,b5,24. b5,4
Black,blunder,25,Be5,25. Be5,4
Black,blunder,25,Bf5,25. Bf5,4
Black,blunder,25,Kg7,25. Kg7,4
Black,blunder,25,Kh8,25. Kh8,4
Black,blunder,25,Qd3,25. Qd3,4
Black,blunder,25,Qf6,25. Qf6,4
Black,blunder,25,g6,25. g6,4
Black,blunder,26,Bxf3,26. Bxf3,4
Black,blunder,26,Kf7,26. Kf7,4
Black,blunder,26,Nd5,26. Nd5,4
Black,blunder,26,Ne5,26. Ne5,4
Black,blunder,26,Qe3,26. Qe3,4
Black,blunder,26,Qe3+,26. Qe3+,4
Black,blunder,26,Qxb2,26. Qxb2,4
Black,blunder,26,Re8,26. Re8,4
Black,blunder,26,f5,26. f5,4
Black,blunder,26,h6,26. h6,4
Black,blunder,27,Qe3,27. Qe3,4
Black,blunder,27,Rf8,27. Rf8,4
Black,blunder,28,Ke7,28. Ke7,4
Black,blunder,28,Kf8,28. Kf8,4
Black,blunder,28,Ne7,28. Ne7,4
Black,blunder,28,Qa5,28. Qa5,4
Black,blunder,28,Qf6,28. Qf6,4
Black,blunder,28,Rd8,28. Rd8,4
Black,blunder,29,Kh7,29. Kh7,4
Black,blunder,29,Qxf2+,29. Qxf2+,4
Black,blunder,29,g6,29. g6,4
Black,blunder,30,Rb2,30. Rb2,4
Black,blunder,31,Qg4,31. Qg4,4
Black,blunder,33,Kg7,33. Kg7,4
Black,blunder,36,Kh8,36. Kh8,4
Black,blunder,37,Re8,37. Re8,4
Black,blunder,41,Kh7,41. Kh7,4
Black,blunder,42,h5,42. h5,4
White,blunder,4,c4,4. c4,4
White,blunder,5,Nc3,5. Nc3,4
White,blunder,6,Bg5,6. Bg5,4
White,blunder,6,g3,6. g3,4
White,blunder,7,Ne5,7. Ne5,4
White,blunder,8,Bg2,8. Bg2,4
White,blunder,8,e3,8. e3,4
White,blunder,8,e4,8. e4,4
White,blunder,9,Bd2,9. Bd2,4
White,blunder,9,Qa4+,9. Qa4+,4
White,blunder,9,e4,9. e4,4
White,blunder,10,Ne4,10. Ne4,4
White,blunder,10,b3,10. b3,4
White,blunder,10,e4,10. e4,4
White,blunder,11,Be3,11. Be3,4
White,blunder,11,Nc3,11. Nc3,4
White,blunder,11,Nh4,11. Nh4,4
White,blunder,12,Bd3,12. Bd3,4
White,blunder,12,Nxe5,12. Nxe5,4
White,blunder,12,O-O,12. O-O,4
White,blunder,12,Qb3,12. Qb3,4
White,blunder,12,Qc2,12. Qc2,4
White,blunder,12,b4,12. b4,4
White,blunder,12,dxe5,12. dxe5,4
White,blunder,13,Ke2,13. Ke2,4
White,blunder,13,Nd4,13. Nd4,4
White,blunder,13,Qb3,13. Qb3,4
White,blunder,13,e3,13. e3,4
White,blunder,13,h3,13. h3,4
White,blunder,14,Be2,14. Be2,4
White,blunder,14,Be3,14. Be3,4
White,blunder,14,Bg5,14. Bg5,4
White,blunder,14,f3,14. f3,4
White,blunder,15,Bf4,15. Bf4,4
White,blunder,15,Bg5,15. Bg5,4
White,blunder,15,Ne4,15. Ne4,4
White,blunder,15,Ng5,15. Ng5,4
White,blunder,15,Qb3,15. Qb3,4
White,blunder,15,Qxb7,15. Qxb7,4
White,blunder,15,Re1,15. Re1,4
White,blunder,15,b4,15. b4,4
White,blunder,16,Be3,16. Be3,4
White,blunder,16,Ne4,16. Ne4,4
White,blunder,16,Ne5,16. Ne5,4
White,blunder,16,Nxd5,16. Nxd5,4
White,blunder,16,O-O,16. O-O,4
White,blunder,16,Qd2,16. Qd2,4
White,blunder,16,Qf3,16. Qf3,4
White,blunder,16,f4,16. f4,4
White,blunder,17,Bxb7,17. Bxb7,4
White,blunder,17,Kh1,17. Kh1,4
White,blunder,17,Ng5,17. Ng5,4
White,blunder,17,Rc1,17. Rc1,4
White,blunder,17,Re1,17. Re1,4
White,blunder,18,Qc2,18. Qc2,4
White,blunder,18,Qe2,18. Qe2,4
White,blunder,18,Rad1,18. Rad1,4
White,blunder,18,Rfe1,18. Rfe1,4
White,blunder,18,b3,18. b3,4
White,blunder,18,b4,18. b4,4
White,blunder,19,Rfe1,19. Rfe1,4
White,blunder,19,f3,19. f3,4
White,blunder,19,h3,19. h3,4
White,blunder,19,h4,19. h4,4
White,blunder,20,Nb5,20. Nb5,4
White,blunder,20,Nc3,20. Nc3,4
White,blunder,20,Nd5,20. Nd5,4
White,blunder,20,Nf3,20. Nf3,4
White,blunder,20,b4,20. b4,4
White,blunder,20,h3,20. h3,4
White,blunder,21,Bxe4,21. Bxe4,4
White,blunder,21,Ne5,21. Ne5,4
White,blunder,21,Qe4,21. Qe4,4
White,blunder,21,Rd1,21. Rd1,4
White,blunder,21,e3,21. e3,4
White,blunder,21,g3,21. g3,4
White,blunder,22,Bf4,22. Bf4,4
White,blunder,22,Qb3,22. Qb3,4
White,blunder,22,Qd4,22. Qd4,4
White,blunder,22,Rb1,22. Rb1,4
White,blunder,22,a4,22. a4,4
White,blunder,23,Bd5+,23. Bd5+,4
White,blunder,23,Bxc6,23. Bxc6,4
White,blunder,23,Nf3,23. Nf3,4
White,blunder,23,Qd3,23. Qd3,4
White,blunder,23,Qe3,23. Qe3,4
White,blunder,23,Rf1,23. Rf1,4
White,blunder,23,e5,23. e5,4
White,blunder,24,Bd5,24. Bd5,4
White,blunder,24,Kg2,24. Kg2,4
White,blunder,24,Kh1,24. Kh1,4
White,blunder,24,Re1,24. Re1,4
White,blunder,25,Bc6,25. Bc6,4
White,blunder,25,Kg2,25. Kg2,4
White,blunder,25,Qf5,25. Qf5,4
White,blunder,25,Qxb7,25. Qxb7,4
White,blunder,25,Rb1,25. Rb1,4
White,blunder,25,Rc8,25. Rc8,4
White,blunder,25,Rd1,25. Rd1,4
White,blunder,26,Qa4,26. Qa4,4
White,blunder,26,Rd1,26. Rd1,4
White,blunder,27,Kf1,27. Kf1,4
White,blunder,27,Nd6,27. Nd6,4
White,blunder,27,Ne4,27. Ne4,4
White,blunder,27,Qc3,27. Qc3,4
White,blunder,27,Rc1,27. Rc1,4
White,blunder,27,Rc5,27. Rc5,4
White,blunder,28,Re1,28. Re1,4
White,blunder,28,Rf1,28. Rf1,4
White,blunder,28,h4,28. h4,4
White,blunder,29,Kf1,29. Kf1,4
White,blunder,29,Qe3,29. Qe3,4
White,blunder,30,Kh3,30. Kh3,4
White,blunder,31,Rc7,31. Rc7,4
White,blunder,32,Kg2,32. Kg2,4
White,blunder,32,Rc1,32. Rc1,4
White,blunder,32,Rd7,32. Rd7,4
White,blunder,33,Kg2,33. Kg2,4
White,blunder,33,Rd6,33. Rd6,4
White,blunder,33,d6,33. d6,4
White,blunder,34,g4,34. g4,4
White,blunder,35,Kg2,35. Kg2,4
White,blunder,35,h4,35. h4,4
White,blunder,36,Kh4,36. Kh4,4
White,blunder,37,h4,37. h4,4
White,blunder,38,Kh3,38. Kh3,4
White,blunder,38,Kh4,38. Kh4,4
White,blunder,38,g4,38. g4,4
White,blunder,44,h4,44. h4,4
Black,blunder,3,cxd4,3. cxd4,3
Black,blunder,4,Bxc5,4. Bxc5,3
Black,blunder,4,Nc6,4. Nc6,3
Black,blunder,4,d5,4. d5,3
Black,blunder,5,Bb4,5. Bb4,3
Black,blunder,5,Bxc5,5. Bxc5,3
Black,blunder,5,dxc3,5. dxc3,3
Black,blunder,6,Bc5,6. Bc5,3
Black,blunder,6,Nge7,6. Nge7,3
Black,blunder,6,Qa5+,6. Qa5+,3
Black,blunder,7,Bd6,7. Bd6,3
Black,blunder,7,Nxd4,7. Nxd4,3
Black,blunder,7,Nxd5,7. Nxd5,3
Black,blunder,7,e6,7. e6,3
Black,blunder,8,Be7,8. Be7,3
Black,blunder,8,Bg4,8. Bg4,3
Black,blunder,8,Nxc3,8. Nxc3,3
Black,blunder,8,Qa5,8. Qa5,3
Black,blunder,8,Qa5+,8. Qa5+,3
Black,blunder,8,Qc7,8. Qc7,3
Black,blunder,9,Bb4,9. Bb4,3
Black,blunder,9,Bc5,9. Bc5,3
Black,blunder,9,Ne4,9. Ne4,3
Black,blunder,9,Nf6,9. Nf6,3
Black,blunder,9,Qa5+,9. Qa5+,3
Black,blunder,9,f5,9. f5,3
Black,blunder,9,h6,9. h6,3
Black,blunder,10,Be7,10. Be7,3
Black,blunder,10,Bf5,10. Bf5,3
Black,blunder,10,Nd4,10. Nd4,3
Black,blunder,10,Nh5,10. Nh5,3
Black,blunder,10,Nxc3,10. Nxc3,3
Black,blunder,10,a5,10. a5,3
Black,blunder,10,e4,10. e4,3
Black,blunder,10,e5,10. e5,3
Black,blunder,10,f6,10. f6,3
Black,blunder,10,h6,10. h6,3
Black,blunder,11,Ba6,11. Ba6,3
Black,blunder,11,Be6,11. Be6,3
Black,blunder,11,Be7,11. Be7,3
Black,blunder,11,Bg4,11. Bg4,3
Black,blunder,11,Nd4,11. Nd4,3
Black,blunder,11,Nf6,11. Nf6,3
Black,blunder,11,Qb6,11. Qb6,3
Black,blunder,11,Qc7,11. Qc7,3
Black,blunder,11,Qf6,11. Qf6,3
Black,blunder,11,b6,11. b6,3
Black,blunder,11,bxc6,11. bxc6,3
Black,blunder,11,e5,11. e5,3
Black,blunder,12,Bd6,12. Bd6,3
Black,blunder,12,Bd7,12. Bd7,3
Black,blunder,12,Nd7,12. Nd7,3
Black,blunder,12,Qf6,12. Qf6,3
Black,blunder,12,Rb8,12. Rb8,3
Black,blunder,12,Re8,12. Re8,3
Black,blunder,12,d5,12. d5,3
Black,blunder,12,d6,12. d6,3
Black,blunder,12,e5,12. e5,3
Black,blunder,13,Bc5,13. Bc5,3
Black,blunder,13,Bd6,13. Bd6,3
Black,blunder,13,Bg4,13. Bg4,3
Black,blunder,13,Bxe5,13. Bxe5,3
Black,blunder,13,Qa5,13. Qa5,3
Black,blunder,13,Qxd5,13. Qxd5,3
Black,blunder,13,Re8,13. Re8,3
Black,blunder,13,g6,13. g6,3
Black,blunder,14,Bc5,14. Bc5,3
Black,blunder,14,Bd6,14. Bd6,3
Black,blunder,14,Be6,14. Be6,3
Black,blunder,14,Ke7,14. Ke7,3
Black,blunder,14,Nc6,14. Nc6,3
Black,blunder,14,Ng4,14. Ng4,3
Black,blunder,14,Nh5,14. Nh5,3
Black,blunder,14,Qd6,14. Qd6,3
Black,blunder,14,Qxd4,14. Qxd4,3
Black,blunder,14,b5,14. b5,3
Black,blunder,14,d4,14. d4,3
Black,blunder,14,g5,14. g5,3
Black,blunder,14,g6,14. g6,3
Black,blunder,14,gxf6,14. gxf6,3
Black,blunder,15,Bb7,15. Bb7,3
Black,blunder,15,Bc5,15. Bc5,3
Black,blunder,15,Bxe2,15. Bxe2,3
Black,blunder,15,Bxf3,15. Bxf3,3
Black,blunder,15,Ne7,15. Ne7,3
Black,blunder,15,Qc7,15. Qc7,3
